Text 1,Text 2,Text 3,Category 1,Category 2,
tomorrow,morgen,,,Delphin,1
yesterday,gestern,,,Delphin,1
today,Heute,,,Delphin,1
right now/straight,gerade,,,Delphin,1
pants,die Hose,,10/26/16,Sherin,1
blue,blau,,10/26/16,Sherin,1
hair,die Haare,,10/26/16,Sherin,0
purple,lila,,10/26/16,Sherin,0
car,das Auto,,10/26/16,Sherin,0
bicycle,das Fahrrad,,10/26/16,Sherin,1
red,rot,,10/26/16,Sherin,1
with,mit,,10/26/16,Sherin,1
often,oft,,10/26/16,Sherin,1
to call,telefoniersen,,10/26/16,Sherin,0
to live (somewhere),wohnen,gewohnt,10/26/16,Sherin,2
house,das Haus,,10/26/16,Sherin,1
apartment,die Wohnung,,10/26/16,Sherin,1
long,lange,,10/26/16,Sherin,1
already,schon,,10/26/16,Sherin,1
since,seit,,10/26/16,Sherin,1
to buy,kaufen,gekauft,10/26/16,Sherin,3
phone,das Handy,,10/26/16,Sherin,1
world,die Welt,,11/2/16,Sherin,1
like (similar to),wie,,11/2/16,Sherin,1
almost,fast,,11/2/16,Sherin,1
vegetarian (adj),vegetarisch,,11/2/16,Sherin,0
first,erste,,11/2/16,Sherin,1
to nourish,ernähren,,11/2/16,Sherin,0
word,das Wort,,11/2/16,Sherin,1
attentive,aufmerksam,,11/2/16,Sherin,0
special,besondere,,11/2/16,Sherin,1
to relinquish,verzichten,,11/2/16,Sherin,0
kind,die Art,,11/2/16,Sherin,1
year,das Jahr,,11/2/16,Sherin,1
on,am,,11/2/16,Sherin,1
with that/it,damit,,11/2/16,Sherin,1
from,vom,,11/2/16,Sherin,1
to mean,bedeuten,,11/2/16,Sherin,0
part,der Teil,,11/2/16,Der Vorleser,
"when, as",als,,11/2/16,Der Vorleser,
all the [adv],desto,,11/2/16,Der Vorleser,
"up, upwards",aufwärts,,11/2/16,Der Vorleser,
"path, road",der Weg,,11/2/16,Der Vorleser,
cloud,die Wolke,,11/2/16,Der Vorleser,
yard,der Hof,,11/2/16,Der Vorleser,
early,früh,,11/2/16,Der Vorleser,
"to take, lead",fürhen,,11/2/16,Der Vorleser,
stick,der Stock,,11/2/16,Der Vorleser,
to build,bauen,,11/2/16,Der Vorleser,
at,an,,11/2/16,Der Vorleser,
strength ,die Kraft,,11/2/16,Der Vorleser,
if,Wenn,,11/2/16,Der Vorleser,
too,zu,,11/2/16,Der Vorleser,
to climb ,steigen,,11/2/16,Der Vorleser,
leg ,das Bein,,11/2/16,Der Vorleser,
hardly ,kaum,,11/2/16,Der Vorleser,
-self,selbst,,11/2/16,Der Vorleser,
to put,stellen,,11/2/16,Der Vorleser,
disgust ,der Widerwille,,11/2/16,Der Vorleser,
to awaken,wachen,,11/2/16,Der Vorleser,
dry ,trocken,,11/2/16,Der Vorleser,
mouth,der Mund,,11/2/16,Der Vorleser,
to feel,fühlen,,11/2/16,Der Vorleser,
"to lie, to be",liegen,,11/2/16,Der Vorleser,
body,der Leib,,11/2/16,Der Vorleser,
"to pass, happen ",passieren ,,11/3/16,Der Vorleser,
to fill,füllen,,11/3/16,Der Vorleser,
to try,versuchen,,11/3/16,Der Vorleser,
to swallow ,schlucken ,,11/3/16,Der Vorleser,
to press,pressen,,11/3/16,Der Vorleser,
lip,die Lippe,,11/3/16,Der Vorleser,
to break,brechen,,11/3/16,Der Vorleser,
through,durch,,11/3/16,Der Vorleser,
to support ,stützen,,11/3/16,Der Vorleser,
then,dann,,11/3/16,Der Vorleser,
vomit,das Erbrochene,,11/3/16,Der Vorleser,
to rest,fußen,,11/3/16,Der Vorleser,
to choke,würgen,,11/3/16,Der Vorleser,
bright,hell,,11/3/16,Der Vorleser,
mucus,der Schleim,,11/3/16,Der Vorleser,
in front of,vor,,11/3/16,Der Vorleser,
to accept,annehmen,,11/3/16,Der Vorleser,
rough,grob,,11/3/16,Der Vorleser,
poor,arm,,11/3/16,Jojo sucht das Glück,
arm,der Arm,,11/3/16,Jojo sucht das Glück,
"but, still, anyway, really, after all",doch,,11/3/16,Jojo sucht das Glück,
behind,hinter,,11/3/16,Jojo sucht das Glück,
seat,der Sitz,,11/3/16,Jojo sucht das Glück,
luck,das Glück,,11/3/16,Jojo sucht das Glück,
at the top ,oben,,11/4/16,,
wares,die Ware,,11/4/16,,
"to tighten, to tense",spannen,,11/4/16,,
to hang,hängen,,11/4/16,,
to store,lagern,,11/4/16,,
wood,das Holz,,11/4/16,,
workshop,die Werkstatt,,11/4/16,,
to screech ,kreischen ,,11/4/16,,
to fly,fliegen,,11/4/16,,
beside,neben,,11/4/16,,
to turn,drehen,,11/4/16,,
hollow ,hohl ,,11/4/16,,
face,das Gesicht,,11/4/16,,
to take,nehmen,,11/4/16,,
to stand,standen,,11/4/16,,
to grab,greiffen,,11/4/16,,
to follow,folgen,,11/4/16,,
"walk, errand",der Gang,,11/4/16,,
to get ,holen ,,11/4/16,,
wide,weit,,11/4/16,,
opposite,gegenüber,,11/4/16,,
point,der Punkt,,11/4/16,,
half,halb,,11/4/16,,
fact,die Tatsache,,11/4/16,,
knowledge ,das Wissen,,11/4/16,,
less,wenig,,11/4/16,,
public,öffentlich,,11/4/16,,
doubt,der Zweifel,,11/4/16,,
question ,die Frage,,11/4/16,,
real,faktisch,,11/4/16,,
"flat, simply",eben,,11/4/16,,
to be able to,können,,11/4/16,,
without,ohne,,11/4/16,,
to be suitable,eignen,,11/5/16,Die fröhliche Wissenschaft,
to imitate,nachmachen,,11/5/16,Die fröhliche Wissenschaft,
to laugh,lachen,,11/5/16,Die fröhliche Wissenschaft,
to give,geben,,11/5/16,Die fröhliche Wissenschaft,
to distribute,ausgeben,,11/5/16,Die fröhliche Wissenschaft,
to teach,lehren,,11/5/16,Die fröhliche Wissenschaft,
purpose ,der Zweck,,11/5/16,Die fröhliche Wissenschaft,
now,nun,,11/5/16,Die fröhliche Wissenschaft,
evil,böse ,,11/5/16,Die fröhliche Wissenschaft,
glance,der Blicke,,11/5/16,Die fröhliche Wissenschaft,
to glance,blicken,,11/5/16,Die fröhliche Wissenschaft,
to find,finden,,11/5/16,Die fröhliche Wissenschaft,
by,bei,,11/5/16,Die fröhliche Wissenschaft,
task,die Aufgabe,,11/5/16,Die fröhliche Wissenschaft,
individual ,einseln,,11/5/16,Die fröhliche Wissenschaft,
in particular,in Sonderheit ,,11/5/16,Die fröhliche Wissenschaft,
preservation ,die Erhaltung,,11/5/16,Die fröhliche Wissenschaft,
human (adj),menschlich,,11/5/16,Die fröhliche Wissenschaft,
genre,die Gattung,,11/5/16,Die fröhliche Wissenschaft,
pious,fromm,,11/5/16,Die fröhliche Wissenschaft,
admittedly,zwar,,11/5/16,Die fröhliche Wissenschaft,
to be precise ,und zwar ,,11/5/16,Die fröhliche Wissenschaft,
feeling,das Gefühl,,11/5/16,Die fröhliche Wissenschaft,
love,die Liebe,,11/5/16,Die fröhliche Wissenschaft,
to love,lieben ,,11/5/16,Die fröhliche Wissenschaft,
but (rather),sondern,,11/5/16,Die fröhliche Wissenschaft,
because,weil,,11/5/16,Die fröhliche Wissenschaft,
age,das Alter,,11/5/16,Die fröhliche Wissenschaft,
relentless,unerbittlich,,11/5/16,Die fröhliche Wissenschaft,
instinct,der Instinkt,,11/5/16,Die fröhliche Wissenschaft,
even,eben,,11/5/16,Die fröhliche Wissenschaft,
essence,das Wesen,,11/5/16,Die fröhliche Wissenschaft,
rich,reich,,11/5/16,Die fröhliche Wissenschaft,
if,ob,,11/5/16,Die fröhliche Wissenschaft,
enough,genug,,11/5/16,Die fröhliche Wissenschaft,
short-sightedness,die Kurzsichtigkeit,,11/5/16,Die fröhliche Wissenschaft,
step,der Schritt,,11/5/16,Die fröhliche Wissenschaft,
neat and tidy,säuberlich,,11/5/16,Die fröhliche Wissenschaft,
to be useful,nutzen,,11/5/16,Die fröhliche Wissenschaft,
useful,nützlich,,11/5/16,Die fröhliche Wissenschaft,
to damage,shaden,,11/5/16,Die fröhliche Wissenschaft,
harmful,schädlich,,11/5/16,Die fröhliche Wissenschaft,
apart,auseinander,,11/5/16,Die fröhliche Wissenschaft,
one another,einander,,11/5/16,Die fröhliche Wissenschaft,
to cultivate,pflegen,,11/5/16,Die fröhliche Wissenschaft,
patient,der/die Kranke,,11/5/16,Die fröhliche Wissenschaft,
sick,krank,,11/5/16,Die fröhliche Wissenschaft,
bill,die Abrechnung,,11/5/16,Die fröhliche Wissenschaft,
to think about,nachdenken,,11/5/16,Die fröhliche Wissenschaft,
whole,das Ganze,,11/5/16,Die fröhliche Wissenschaft,
against,gegen,,11/5/16,Die fröhliche Wissenschaft,
to clean,säubern,,11/5/16,Die fröhliche Wissenschaft,
mistrustful,misstrauisch,,11/5/16,Die fröhliche Wissenschaft,
to let,lassen,,11/5/16,Die fröhliche Wissenschaft,
finally,endlich,,11/5/16,Die fröhliche Wissenschaft,
to have to,müssen,,11/5/16,,
to get up,aufstehen,,11/7/16,Sherin,
to meditate,meditieren,,11/7/16,Sherin,
meditation,die Meditation,,11/7/16,Sherin,
minute,die Minute,,11/7/16,Sherin,
hour,die Stunde,die Stunden,11/7/16,Sherin,
o' clock,Uhr,,11/7/16,Sherin,
approximate,ungefähr,,11/7/16,Sherin,
connection,die Verbindung,,11/7/16,Sherin,
either,entweder,,11/7/16,Sherin,
meaning,die Bedeutung,,11/7/16,Sherin,
to tell,erzählen,,11/7/16,Sherin,
last (adj),letzte,,11/7/16,Sherin,
week,die Woche,,11/7/16,Sherin,
page,die Seite,,11/7/16,Sherin,
to show,zeigen,,11/7/16,Sherin,
thing,das Ding,,11/7/16,Sherin,
article,der Artikel,,11/7/16,Sherin,
to look for,suchen,,11/7/16,Sherin,
same,gleiche,,11/7/16,Sherin,
next,nächste,,11/7/16,Sherin,
pronunciation,die Aussprache,,11/7/16,Sherin,
between,zwischen,,11/7/16,Sherin,
similar,ähnlich,,11/7/16,Sherin,
green,grün,,11/7/16,Sherin,
to write down,aufgeschrieben,,11/7/16,Sherin,
fun (noun),der Spaß,,11/7/16,Sherin,
help,die Hilfe,,11/7/16,Sherin,
content,der Inhalt,,11/7/16,Wikipedia—Heidegger,
to contribute,beitragen,,11/7/16,Wikipedia—Heidegger,
to originate,entstehen,,11/7/16,Wikipedia—Heidegger,
history,die Geschichte,,11/7/16,Wikipedia—Heidegger,
local,örtlich,,11/7/16,Wikipedia—Heidegger,
"post, position",das Amt,,11/7/16,Wikipedia—Heidegger,
devout,gläubig,,11/7/16,Wikipedia—Heidegger,
in spite of,trotz,,11/7/16,Wikipedia—Heidegger,
meager,knapp,,11/7/16,Wikipedia—Heidegger,
possible,möglich,,11/7/16,Wikipedia—Heidegger,
education,die Bildung,,11/7/16,Wikipedia—Heidegger,
training,die Ausbildung,,11/7/16,Wikipedia—Heidegger,
"above, over",darüber,,11/7/16,Wikipedia—Heidegger,
out,hinaus,,11/7/16,Wikipedia—Heidegger,
to serve,dienen,,11/7/16,Wikipedia—Heidegger,
beyond,jenseits,,11/7/16,Wikipedia—Heidegger,
to appear,scheinen,,11/7/16,Wikipedia—Heidegger,
accessible,erreichbar,,11/7/16,Wikipedia—Heidegger,
until,bis,,11/7/16,Wikipedia—Heidegger,
talent,die Begabung,,11/7/16,Wikipedia—Heidegger,
to train,heranbilden,,11/7/16,Wikipedia—Heidegger,
to form,bilden,,11/7/16,Wikipedia—Heidegger,
to travel,reisen,,11/7/16,Wikipedia—Heidegger,
future (noun),die Zukunft,,11/7/16,Wikipedia—Heidegger,
future (adj),zukünftig,,11/7/16,Wikipedia—Heidegger,
to step,treten,,11/7/16,Wikipedia—Heidegger,
because of,wegen,,11/7/16,Wikipedia—Heidegger,
heart,das Herz,,11/7/16,Wikipedia—Heidegger,
"pain, trouble",die beschwerde,,11/7/16,Wikipedia—Heidegger,
month,der Monat,,11/7/16,Wikipedia—Heidegger,
instead of,stattdessen,,11/7/16,Wikipedia—Heidegger,
to publish,veröffentlichen,,11/7/16,Wikipedia—Heidegger,
"mind, spirit",der Geist,,11/7/16,Wikipedia—Heidegger,
sacred,geistlich,,11/7/16,Wikipedia—Heidegger,
career,die Laufbahn,,11/7/16,Wikipedia—Heidegger,
to say,sagen,,11/9/16,Sherin,
to choose,wählen,,11/9/16,Sherin,
when (question),wann,,11/9/16,Sherin,
possibility,die Möglichkeiten,,11/9/16,Sherin,
sentence,der Satz,,11/9/16,Sherin,
"different, quite",anders,,11/9/16,Sherin,
to get dressed,anziehen,,11/9/16,Sherin,
to brush,putzen,,11/9/16,Sherin,
normally,normalerweise,,11/9/16,Sherin,
to belong,gehören,,11/9/16,Sherin,
blouse,die Bluse,,11/9/16,Sherin,
besides,außerdem,,11/9/16,Sherin,
student (M),der Schüler,,11/9/16,Sherin,
student (F),die Schülerin,,11/9/16,Sherin,
false,falsch,,11/9/16,Sherin,
"rather, earlier",eher,,11/9/16,Sherin,
once again,noch einmal,,11/9/16,Sherin,
late,spät,,11/9/16,Sherin,
Monday,Montag,,11/9/16,,
Tuesday,Dienstag,,11/9/16,,
Wednesday,Mittwoch,,11/9/16,,
Thursday,Donnerstag,,11/9/16,,
Friday,Freitag,,11/9/16,,
Saturday,Sonnabend,,11/9/16,,
Sunday,Sonntag,,11/9/16,,
honest,ehrlich,,11/11/16,German Made Simple,
stupid,dämlich,,11/11/16,German Made Simple,
paper,das Papier,,11/11/16,German Made Simple,
rope,das Seil,,11/11/16,German Made Simple,
cup,die Tasse,,11/11/16,German Made Simple,
hot,heiß,,11/11/16,German Made Simple,
brown,braun,,11/11/16,German Made Simple,
weather,das Wetter,,11/11/16,German Made Simple,
winter,der Winter,,11/13/16,German Made Simple,
summer,der Sommer,,11/13/16,German Made Simple,
ball,der Ball,,11/13/16,German Made Simple,
grass,das Gras,,11/13/16,German Made Simple,
park,der Park,,11/13/16,German Made Simple,
finger,der Finger,,11/13/16,German Made Simple,
full,voll,,11/13/16,German Made Simple,
to bring,bringen,,11/13/16,German Made Simple,
"to wonder, to be surprised",wundern,,11/13/16,German Made Simple,
second,zweite,,11/13/16,German Made Simple,
third,dritte,,11/13/16,German Made Simple,
fourth,vierte,,11/13/16,German Made Simple,
piece,das Stück,,11/13/16,German Made Simple,
American (noun),der Amerikaner,,11/13/16,German Made Simple,
America,Amerika,,11/13/16,German Made Simple,
office,das Büro,,11/13/16,German Made Simple,
married,verheiratet,,11/13/16,German Made Simple,
many,viele,,11/13/16,German Made Simple,
bottle,die Flasche,,11/13/16,German Made Simple,
cash counter,die Kasse,,11/13/16,German Made Simple,
sales clerk (f),die Verkäuferin,,11/13/16,German Made Simple,
to shop,einkaufen,,11/13/16,German Made Simple,
"patient, patiently",geduldig,,11/13/16,German Made Simple,
finally,schließlich,,11/13/16,German Made Simple,
home,nach House,,11/13/16,German Made Simple,
dresser,die Kommode,,11/13/16,German Made Simple,
comfortable,bequem,,11/13/16,German Made Simple,
dark,dunkel,,11/13/16,German Made Simple,
smaller,kleiner,,11/13/16,German Made Simple,
several,einege,,11/13/16,German Made Simple,
somewhat,etwas,,11/13/16,German Made Simple,
around,um,,11/13/16,German Made Simple,
study room,das Arbeitszimmer,,11/13/16,German Made Simple,
bathroom,"das Badezimmer, das Bad",,11/13/16,German Made Simple,
dining room,das Esszimmer,,11/13/16,German Made Simple,
garage,die Garage,,11/13/16,German Made Simple,
vestibule,die Hausflur,,11/13/16,German Made Simple,
quarter,viertel,,11/14/16,Sherin,
after,nach,,11/14/16,Sherin,
breakfast,das Frühstück,,11/14/16,Sherin,
to eat breakfast,frühstücken,,11/14/16,Sherin,
roommate,die Mitbewohner,,11/14/16,Sherin,
photo,das Foto,,11/14/16,Sherin,
camera,die Kamera,,11/14/16,Sherin,
earlier,früher,,11/14/16,Sherin,
appointment,der Termin,,11/14/16,Sherin,
hospital,das Krankenhaus,,11/14/16,Sherin,
tooth,der Zahn,,11/14/16,Sherin,
homework,die Hausaufgaben,,11/14/16,Sherin,
sentence,der Satz,,11/14/16,Sherin,
to receive,bekommen,,11/16/16,Sherin,
song,das Lied,,11/16/16,Sherin,
"suffering, sorry",das Leid,,11/16/16,Sherin,
poem,das Gedicht,,11/16/16,Sherin,
to know,wissen,,11/16/16,Sherin,
paragraph,der Absatz,,11/16/16,Sherin,
time (moment),das Mal,,11/16/16,Sherin,
there is/are,es gibt,,11/19/16,"At home In the Bathroom,  Super Easy German",
example,das Beispiel,die Beispiele,11/19/16,"At home In the Bathroom,  Super Easy German",
for example,zum Beispiel,,11/19/16,"At home In the Bathroom,  Super Easy German",
comb,der Kamm,die Kammes,11/19/16,"At home In the Bathroom,  Super Easy German",
to comb,kämmen,gekämmten,11/19/16,"At home In the Bathroom,  Super Easy German",
to spray,sprühen,gesprühten,11/19/16,"At home In the Bathroom,  Super Easy German",
toothbrush,die Zahnbürste,die Zahnbürsten,11/19/16,"At home In the Bathroom,  Super Easy German",
for it/that,dafür,,11/19/16,"At home In the Bathroom,  Super Easy German",
mirror,der Spiegel,die Spiegel,11/19/16,"At home In the Bathroom,  Super Easy German",
soap,die Seife,die Seifen,11/19/16,"At home In the Bathroom,  Super Easy German",
to press,drüken,gedrückt,11/19/16,"At home In the Bathroom,  Super Easy German",
to dry,trocken,getrocknet,11/19/16,"At home In the Bathroom,  Super Easy German",
bathtub,die Badewanne,die Badewannen,11/19/16,"At home In the Bathroom,  Super Easy German",
to bathe,baden,gebadet,11/19/16,"At home In the Bathroom,  Super Easy German",
to shower,duschen,gedusht,11/19/16,"At home In the Bathroom,  Super Easy German",
wet,nass,,11/19/16,"At home In the Bathroom,  Super Easy German",
afterwards,danach,,11/19/16,"At home In the Bathroom,  Super Easy German",
to rinse,spülen,gespült,11/19/16,"At home In the Bathroom,  Super Easy German",
to leave,lassen,gelassen,11/19/16,"At home In the Bathroom,  Super Easy German",
to close,schließen,,11/19/16,"At home In the Bathroom,  Super Easy German",
toilet,die Toilette,die Toiletten,11/19/16,"At home In the Bathroom,  Super Easy German",
pillow,die Kissen,die Kissen,11/19/16,"At home In the Bathroom,  Super Easy German",
business partner,der Geschäftspartner,die Geschäftspartner,11/22/16,German Made Simple,
"the thing, matter",die Sache,die Sachen,11/22/16,German Made Simple,
business matter,die Geschäftssache,die Geschäftssache,11/22/16,German Made Simple,
place,der Platz,die Plätze,11/22/16,German Made Simple,
trip,die Reise,die Reisen,11/22/16,German Made Simple,
to visit,besuchen,besucht,11/22/16,German Made Simple,
industrious,fleißig,,11/22/16,German Made Simple,
intelligent,intelligent,,11/22/16,German Made Simple,
fluent,fließend,,11/22/16,German Made Simple,
therefore,deswegen,,11/22/16,German Made Simple,
to talk,reden,geredet,11/22/16,German Made Simple,
to look [good/bad/etc],aussehen,,11/23/16,Sherin,
than,als,,11/23/16,Sherin,
before,vorher,,11/23/16,Sherin,
musician,der Musiker,die Musiker,11/23/16,Sherin,
real,echt,,11/23/16,Sherin,
artist,der Künstler,die Künstler,11/23/16,Sherin,
to dive,tauchen,getaucht,11/23/16,Sherin,
black,schwarz,,11/23/16,Sherin,
to argue,streiten,,11/23/16,Sherin,
"sharp, spicy, strong",scharf,,11/23/16,Sherin,
to cook,kochen,gekocht,11/23/16,Sherin,
language,die Sprache,die Sprachen,11/23/16,Sherin,
foreign language,die Fremdsprache,die Fremdsprachen,11/23/16,Sherin,
"price, prize",der Preis,die Preise,11/23/16,Sherin,
to find out,herausfinden,herausgefunden,11/25/16,Sherin,
better,besser,,11/25/16,Sherin,
to last,dauern,gedauert,11/25/16,Sherin,
to move,bewegen,bewegt,11/25/16,Sherin,
still (adj),still,,11/25/16,Sherin,
short,kurz,,11/25/16,Sherin,
to stay,bleiben,ist gebleiben,11/25/16,Sherin,
to like,"mögen, gefallen",,11/25/16,Sherin,
to earn,verdienen,,11/25/16,Sherin,
floor,"das Stockwerk, die Etage","die Stockwerke, die Etagen",11/25/16,Sherin,
away,entfernt,,11/25/16,Sherin,
per,pro,,11/25/16,Sherin,
to work,arbeiten,gearbeitet,11/25/16,Sherin,
work,die Arbeit,die Arbeiten,11/25/16,Sherin,
regarding,bezüglich,,11/27/16,,
order,die Bestellung,die Bestellungen,11/27/16,,
to cancel,stornieren,storniert,11/27/16,,
memory,die Erinnerung,die Erinerrung,11/27/16,,
to send,senden,gesandt/gesendet,11/27/16,,
to send out,versenden,versandt/versendet,11/27/16,,
to charge,berechnen,berechnet,11/27/16,,
visit,der Besuch,die Besuche,11/27/16,,
religion,die Religion,die Religionen,11/27/16,,
novel,der Roman,die Romane,11/27/16,,
to believe,glauben,geglaubt,11/27/16,,
truth,die Wahrheit,die Wahrheiten,11/27/16,,
everywhere,überall,,11/27/16,One-Punch Man,
emotional,emotional,,11/27/16,One-Punch Man,
enormous,riesig,,11/27/16,One-Punch Man,
ground,der Boden,,11/27/16,One-Punch Man,
"to shake, to tremble (not person)",beben,gebebt,11/27/16,One-Punch Man,
deafening,ohrenbetäubend,,11/27/16,One-Punch Man,
thunder,der Donner,die Donner,11/27/16,One-Punch Man,
din,der Lärm,,11/27/16,One-Punch Man,
justice,die Gerechtigkeit,die Gerechtigkeiten,11/27/16,One-Punch Man,
hero,der Held,die Helden,11/27/16,One-Punch Man,
miserable,armselig,,11/27/16,One-Punch Man,
constant,anhaltend,,11/27/16,One-Punch Man,
pollution,die Verpestung,,11/27/16,One-Punch Man,
filthy,dreckig,,11/27/16,One-Punch Man,
virus,das Virus,die Viren,11/27/16,One-Punch Man,
to suck,saugen,gesaugt,11/27/16,One-Punch Man,
to suck dry,aussaugen,,11/27/16,One-Punch Man,
independent,eigenständig,,11/27/16,One-Punch Man,
civilization,die Zivilisation,,11/27/16,One-Punch Man,
to delete (uncommon),tilgen,getilgt,11/27/16,One-Punch Man,
spawn,die Ausgeburt,die Ausgeburten,11/27/16,One-Punch Man,
birth,die Geburt,die Geburten,11/27/16,One-Punch Man,
hobby,das Hobby,die Hobbys,11/27/16,One-Punch Man,
"to extinguish, to delete",löschen,gelöscht,11/27/16,One-Punch Man,
to become,werden,geworden,11/27/16,One-Punch Man,
battle,der Kampf,die Kåmpfe,11/27/16,One-Punch Man,
hit,der Schlag,die Schläge,11/27/16,One-Punch Man,
to hit,schlagen,geschlagen,11/27/16,One-Punch Man,
peace,der Frieden,,11/28/16,Sherin,
famous,berühmt,,11/28/16,Sherin,
war,der Krieg,die Kriege,11/28/16,Sherin,
butter,die Butter,,11/28/16,Sherin,
peanut,die Erdnuss,,11/28/16,Sherin,
a bit,bisschen,,11/28/16,Sherin,
windy,windig,,11/28/16,Sherin,
snow,der Schnee,,11/28/16,Sherin,
to share,mit dir teilen,geteilt,11/28/16,Sherin,
excited,aufgeregt,,11/28/16,Sherin,
to look up,nachschlagen,,11/28/16,Sherin,
nightmare,der Albtraum,,,,
to sigh,seuftzen,geseuftzen,,,
ever,jemals,,,,
to change,ändern,geändert,,,
awkward,unbeholfen,,,,
strange,seltsam,,,,
to annoy,ärgern,geärgert,,,
property,das Eigentum,,,,
type,der Typ,die Typen,,,
to bother,stören,gestört,,,
darkness,"die Finsternis, die Dunkelheit","die Finsternisse, die Dunkelheiten",11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to wrap (not common),hüllen,gehüllt,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to shroud,umhüllen,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
true,wahr,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
own,eigen,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to die down,ersterben,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to rush [smtg],überstürzen,überstürzt,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to rage,toben,getobt,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
"to ruin, spoil",verderben,verdorben,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
